Data;CASO_1;;;CASO_2;;;CASO_3;;;CASO_4;;
;Vacca;Quarto;Note;Vacca;Quarto;Note;Vacca;Quarto;Note;Vacca;Quarto;Note
16/08/2024;;;;;;;;;;;;
17/08/2024;;;;;;;;;;;;
18/08/2024;;;;;;;;;;;;
19/08/2024;916;PD;;;;;;;;;;
20/08/2024;1514;PD;;;;;;;;;;
21/08/2024;;;;;;;;;;;;
22/08/2024;;;;;;;;;;;;
23/08/2024;;;;;;;;;;;;
24/08/2024;;;;;;;;;;;;
25/08/2024;;;;;;;;;;;;
26/08/2024;1847;PD;CON SANGUE;;;;;;;;;
27/08/2024;1308;AD;;;;;;;;;;
28/08/2024;;;;;;;;;;;;
29/08/2024;;;;;;;;;;;;
30/08/2024;1371;PS;;1803;PS;;;;;;;
31/08/2024;;;;;;;;;;;;
01/09/2024;;;;;;;;;;;;
02/09/2024;1369;PS;GIM 1 ACQUA;;;;;;;;;
03/09/2024;1483;PD;CON SANGUE;1409;PD;;1375;PS+PD;GIM 3 ACQUA + AGALASSIA;;;
04/09/2024;;;;;;;;;;;;
05/09/2024;;;;;;;;;;;;
06/09/2024;870;AD;;859;PD;;;;;;;
07/09/2024;;;;;;;;;;;;
08/09/2024;;;;;;;;;;;;
09/09/2024;;;;;;;;;;;;
10/09/2024;;;;;;;;;;;;
11/09/2024;;;;;;;;;;;;
12/09/2024;1710;AS;APPENA PARTORITO;;;;;;;;;
13/09/2024;;;;;;;;;;;;
14/09/2024;;;;;;;;;;;;
15/09/2024;;;;;;;;;;;;
16/09/2024;;;;;;;;;;;;
17/09/2024;;;;;;;;;;;;
18/09/2024;;;;;;;;;;;;
19/09/2024;;;;;;;;;;;;
20/09/2024;;;;;;;;;;;;
21/09/2024;;;;;;;;;;;;
22/09/2024;;;;;;;;;;;;
23/09/2024;;;;;;;;;;;;
24/09/2024;;;;;;;;;;;;
25/09/2024;;;;;;;;;;;;
26/09/2024;1504;PS;;;;;;;;;;
27/09/2024;1126;PD;;;;;;;;;;
28/09/2024;1269;AD;;;;;;;;;;
29/09/2024;1461;AD;;;;;;;;;;
30/09/2024;;;;;;;;;;;;
01/10/2024;;;;;;;;;;;;
02/10/2024;;;;;;;;;;;;
03/10/2024;;;;;;;;;;;;
04/10/2024;;;;;;;;;;;;
05/10/2024;;;;;;;;;;;;
06/10/2024;;;;;;;;;;;;
