Data;ID AZ;Cow;Lattazione;GIM;Produz.;Grasso;Proteine;Urea;CN;BHB;SCC
01/10/2024;1796;IT015990581546;1;280;19,4;5,29;3,25;22,4;2,59;0,11;5885
01/10/2024;1881;IT015990581641;1;70;28,8;2,85;3,01;6,8;2,31;0,04;3605
01/10/2024;1811;IT015990581571;1;237;28,8;5,66;3,43;18;2,72;0,06;2963
01/10/2024;1786;IT015990581556;1;276;19;3,74;3,85;13,9;3,04;0,08;2613
01/10/2024;1908;IT015990581668;1;100;19,2;3,72;3,34;9,7;2,56;0,1;2049
01/10/2024;1842;IT015990581602;1;68;38,4;2,8;2,67;13,7;2,08;0,04;1446
01/10/2024;1825;IT015990581585;1;191;34,1;2,95;3,39;11,4;2,66;;1359
01/10/2024;1859;IT015990581619;1;110;35,9;3,92;3,67;22,5;2,86;0,04;1193
01/10/2024;1607;IT015990553427;1;215;30,7;3,58;3,41;17;2,69;0,02;901
01/10/2024;1765;IT015990581525;1;325;24,2;3,78;4,17;10,1;3,36;;894
01/10/2024;1835;IT015990581595;1;183;25;3,75;3,6;13,1;2,89;0,04;866
01/10/2024;1923;IT015990581683;1;67;29,2;5,86;2,99;15,9;2,35;0,01;849
01/10/2024;1915;IT015990581675;1;30;32,5;4,51;3,26;15,3;2,61;;804
01/10/2024;1663;IT015990553483;2;261;26,2;4,26;3,76;12,5;3,03;;763
01/10/2024;1693;IT015990553513;1;285;28,3;3,57;3,56;15,1;2,83;0,02;757
01/10/2024;1602;IT015990553422;2;280;20,5;4,11;4,07;17,6;3,26;0,05;688
01/10/2024;1711;IT015990553531;1;172;33;2,93;3,17;7,8;2,53;0,04;678
01/10/2024;1568;IT015990553388;2;223;28;3,73;3,78;16,9;2,96;0,02;675
01/10/2024;1849;IT015990581609;1;101;31;4,11;3,3;15,9;2,64;0,04;663
01/10/2024;1716;IT015990553536;1;11;30,8;3,58;3,34;8,3;2,6;0,1;648
01/10/2024;1755;IT015990581515;1;83;29,9;4,06;2,82;20,3;2,24;0,03;639
01/10/2024;1836;IT015990581596;1;193;32,8;3,99;3,4;16,8;2,72;;563
01/10/2024;1900;IT015990581660;1;16;30,4;4,35;3,35;18,6;2,64;0,06;516
01/10/2024;1741;IT015990581501;1;224;29,9;3,25;3,51;13,7;2,81;0,12;509
01/10/2024;1198;IT015990490878;3;311;26,8;4,32;3,93;16,5;3,14;0,01;442
01/10/2024;1863;IT015990581623;1;14;29,7;5,06;3,37;22,2;2,67;0,07;435
